imo,name,ship_type,dwt,dwt_size_class,efficiency_grade,flag_registry,technical_efficiency,co2_total_t,co2_per_distance_kg_nm,in_mrv
9611515,NISSAKI,Bulk carrier,81466.0,Panamax (60-100k),E,Nassau,EIV (5.89 gCO₂/t·nm),3412.3,314.1,True
9597795,TINOS,Bulk carrier,81391.0,Panamax (60-100k),E,Monrovia,EEXI (3.5 gCO₂/t·nm),4717.7,325.0,True
9588005,DRAGON,Bulk carrier,81389.0,Panamax (60-100k),E,Nassau,EEXI (3.5 gCO₂/t·nm),3849.8,319.4,True
9633410,MYKONOS,Bulk carrier,81386.0,Panamax (60-100k),E,Valletta,EIV (4.09 gCO₂/t·nm),3767.5,341.3,True
9487615,APHRODITE L,Bulk carrier,81365.0,Panamax (60-100k),D,Monrovia,EEXI (3.5 gCO₂/t·nm),2621.4,303.6,True
9487627,ATHINA L,Bulk carrier,81358.0,Panamax (60-100k),E,Monrovia,EEXI (3.5 gCO₂/t·nm),16254.5,368.2,True
9590084,NAVIOS AVIOR,Bulk carrier,81355.0,Panamax (60-100k),E,Panama,EEXI (3.5 gCO₂/t·nm),1707.3,319.5,True
9743980,RB ARIANA,Bulk carrier,81346.0,Panamax (60-100k),D,Majuro,EEDI (3.25 gCO₂/t·nm),5281.9,295.7,True
9687124,BELMONTE,Bulk carrier,81344.0,Panamax (60-100k),D,Monrovia,EIV (3.85 gCO₂/t·nm),1116.9,294.2,True
9589152,PUMA MAX,Bulk carrier,81339.0,Panamax (60-100k),D,Nassau,EEXI (3.5 gCO₂/t·nm),7974.8,291.0,True
9593402,PANTHER MAX,Bulk carrier,81283.0,Panamax (60-100k),D,Nassau,EEXI (3.5 gCO₂/t·nm),6353.8,286.1,True
9586629,LYRIC SUN,Bulk carrier,81276.0,Panamax (60-100k),E,Nassau,EIV (4.67 gCO₂/t·nm),4808.1,322.6,True
9597381,ODYSSEAS L,Bulk carrier,81259.0,Panamax (60-100k),D,Monrovia,EEXI (3.5 gCO₂/t·nm),5195.9,286.2,True
9719575,STEFANOS,Bulk carrier,81237.0,Panamax (60-100k),D,Majuro,EEXI (3.5 gCO₂/t·nm),5915.7,297.7,True
9618666,QUEEN SARAH,Bulk carrier,81221.0,Panamax (60-100k),E,Monrovia,EEXI (3.49 gCO₂/t·nm),7084.7,337.0,True
9727974,FLAG METTE,Bulk carrier,81200.0,Panamax (60-100k),E,Valetta,EEDI (3.73 gCO₂/t·nm),13377.9,325.8,True
9729908,ASTERION,Bulk carrier,81193.0,Panamax (60-100k),D,Monrovia,EEDI (3.59 gCO₂/t·nm),5955.3,285.3,True
9728629,EOLOS ANGEL,Bulk carrier,81183.0,Panamax (60-100k),D,Majuro,EEXI (3.5 gCO₂/t·nm),5531.3,303.6,True
9621405,PAN ENERGEN,Bulk carrier,81170.0,Panamax (60-100k),D,Majuro,EEXI (3.5 gCO₂/t·nm),2733.2,303.3,True
9723629,GALAXY GLOBE,Bulk carrier,81167.0,Panamax (60-100k),C,Majuro,EEDI (3.58 gCO₂/t·nm),1997.1,261.5,True
